opus,key,performer,year,time,seconds,label,pid,status,piece_path,performer_label
6.1,F# min,Ashkenazy,1981,3:14,194,Decca 448 086-2,9058-01,-,mazurka06-1/pid9058-01,0
6.1,F# min,Bacha,1997,2:46,166,Forlane 126817,9166c-03,-,mazurka06-1/pid9166c-03,1
6.1,F# min,Barbosa,1983,2:30,150,Centaur CRC2098/9,9174-01,-,mazurka06-1/pid9174-01,2
6.1,F# min,Biret,1990,3:29,209,Naxos 8.550359,9062-01,-,mazurka06-1/pid9062-01,3
6.1,F# min,Blet,2003,3:31,211,Marcal MA030501,9103-01,-,mazurka06-1/pid9103-01,4
6.1,F# min,Brailowsky,1960,3:21,201,Sony SB2K 63237,9060-01,-,mazurka06-1/pid9060-01,6
6.1,F# min,Chiu,1999,3:23,203,HMX 2907352.53,9048-01,-,mazurka06-1/pid9048-01,7
6.1,F# min,Clidat,1994,2:48,168,Forlane UCD16729 ,9067-01,-,mazurka06-1/pid9067-01,8
6.1,F# min,Cohen,1997,4:04,244,Glossa 920506 ,9105-01,-,mazurka06-1/pid9105-01,9
6.1,F# min,Cortot,1951,3:15,195,Concert Artist 9180/12 ,9066-01,-,mazurka06-1/pid9066-01,10
6.1,F# min,Csalog,1996,3:16,196,Hungaroton HCD 31755/6,1263-01,-,mazurka06-1/pid1263-01,11
6.1,F# min,Czerny-Stefanska,1989,3:19,199,Pony Canyon Classics PCCL-00460,9192-01,-,mazurka06-1/pid9192-01,12
6.1,F# min,Ezaki,2006,3:18,198,Triton OVCT-00035,9139-01,-,mazurka06-1/pid9139-01,13
6.1,F# min,Falvay,1989,3:11,191,Naxos 8.550256 ,9068-01,-,mazurka06-1/pid9068-01,14
6.1,F# min,Ferenczy,1958,3:50,230,Hungaroton HCD 32121,9097-09,-,mazurka06-1/pid9097-09,15
6.1,F# min,Fliere,1977,3:05,185,Melodia 10 00439,9063-01,-,mazurka06-1/pid9063-01,17
6.1,F# min,Fou,1978,2:53,173,Sony SB2K 53 246,9071-06,-,mazurka06-1/pid9071-06,18
6.1,F# min,Francois,1956,1:32,92,EMI CZS 7 67413 2,9070-09,-,mazurka06-1/pid9070-09,19
6.1,F# min,Hatto,1993,2:59,179,Con. Artist FED4-TC-0116/7,610003-03,-,mazurka06-1/pid610003-03,22
6.1,F# min,Hatto,2006,3:02,182,Con. Artist 9270/12,9073-03,-,mazurka06-1/pid9073-03,22
6.1,F# min,Indjic,1988,3:01,181,Calliope 3321,9050-01,-,mazurka06-1/pid9050-01,24
6.1,F# min,Kushner,1990,2:34,154,Connoisseur CD4181/2,9118-01,-,mazurka06-1/pid9118-01,26
6.1,F# min,Lilamand,2001,2:14,134,Concerto Royale 206220-3600,9186c-01,-,mazurka06-1/pid9186c-01,27
6.1,F# min,Luisada,1990,3:09,189,DG 463054-2,9055-01,-,mazurka06-1/pid9055-01,28
6.1,F# min,Lushtak,2004,3:27,207,Centaur CRC 2707,9088-01,-,mazurka06-1/pid9088-01,29
6.1,F# min,Magaloff,1977,3:01,181,Phillips 426 817/29-2,9074f-01,-,mazurka06-1/pid9074f-01,30
6.1,F# min,Magin,1975,2:51,171,Accord 465 665-2,9138-01,-,mazurka06-1/pid9138-01,31
6.1,F# min,Meguri,1997,2:10,130,Live Notes WWCC-7313,9137-01,-,mazurka06-1/pid9137-01,33
